t_s,I_A,P_device_W,V_V,SOC,T_C
0.0,0.7002246432605254,3.0109659660202612,4.270860400914974,0.9999513732886625,25.019947406431527
1.0,0.7125816629843236,3.043336806857887,4.2692930822790265,0.9999018884509551,25.040044695914105
2.0,0.7400488739099634,3.1594855379321904,4.267120487718948,0.9998504961680447,25.06086102695781
3.0,0.7596180611054669,3.2413817913844816,4.265275782722012,0.9997977449138011,25.082157909079058
4.0,0.7283409517731573,3.1065750231627485,4.26555071276665,0.9997471656810389,25.1024292912968
5.0,0.7121201111077683,3.0375844475112075,4.265285122185077,0.9996977128955454,25.122136639181576
6.0,0.7211512941470745,3.075915885770031,4.264032675431282,0.999647632944563,25.142024982867497
7.0,0.6988407761807149,2.9798799045583277,4.264096189749114,0.9995991023351061,25.161165310344302
8.0,0.6760672466019981,2.8828157702497546,4.26424256245064,0.9995521532207587,25.179555002402026
9.0,0.6883592592966375,2.9353308517497183,4.26300303398083,0.9995043504944187,25.198227816726103
10.0,0.6738774962888558,2.872741811210798,4.262876999372986,0.9994575534460651,25.21639042960635
11.0,0.6737562638718441,2.87214008044276,4.262205983245273,0.9994107648166295,25.234471447571025
12.0,0.6838073439142348,2.91452775261831,4.261140436668642,0.9993632781955243,25.25276730245338
13.0,0.6536288015800054,2.785204116983825,4.261739269805093,0.9993178873065257,25.27009640314111
14.0,0.6561886639457828,2.79650499753868,4.26105794636286,0.9992723186493072,25.287428956718315
15.0,0.6726645795792595,2.866262752053036,4.259821251915972,0.999225605831281,25.305167084340667
16.0,0.666513913387845,2.839230132947224,4.2595093497930785,0.9991793201428512,25.322644136100223
17.0,0.6852561176097042,2.9188548399614405,4.258204552343627,0.9991317329124616,25.340594460503326
18.0,0.6682437446324099,2.84551855546888,4.2583570304583995,0.9990853270968622,25.357964152261445
19.0,0.6611145467097743,2.8152617779198854,4.258147700100983,0.9990394163644517,25.375051844556708
20.0,0.7016992214864772,2.987938926135293,4.256012533640412,0.9989906872518484,25.393255092781374
21.0,0.6782060436043543,2.8864534219708076,4.256455916918939,0.9989435896099313,25.410682341620088
22.0,0.6822698857840845,2.9040516922812754,4.255824174998673,0.9988962097567521,25.42815615091638
23.0,0.6613325628820346,2.8145151088271927,4.256222980736259,0.9988502838843298,25.444940181953996
24.0,0.6736811133970443,2.867337036528489,4.255308508330252,0.9988035004736774,25.46201535946784
25.0,0.6830657165496891,2.906655355382592,4.254510431655104,0.9987560653544725,25.479288439325046
26.0,0.665397448385938,2.830940385354662,4.254814583703806,0.9987098571983345,25.495967597040135
27.0,0.6868787872200707,2.92254188110074,4.253563392783718,0.9986621572825551,25.513205302606025
28.0,0.6733088034995923,2.8639616786048716,4.253719360930953,0.9986153997267566,25.52996696389937
29.0,0.677641877714648,2.8824983750124034,4.253179438243548,0.9985683412630265,25.54678448412011
30.0,0.6733545209766534,2.863897603266236,4.2529947874618514,0.9985215805324031,25.563402577709383
31.0,0.7080038517676047,3.0111366910705364,4.251246721773906,0.9984724135982526,25.580963636943466
32.0,0.681962340992053,2.899190166515724,4.251921462463895,0.9984250551023504,25.597679233640974
33.0,0.6671189412372012,2.836537344262646,4.252191318861603,0.9983787273980977,25.613892699492794
34.0,0.6936077127206479,2.9493526947261914,4.250818251666447,0.9983305601958256,25.630812659523258
35.0,0.6649894711197236,2.8267493810017386,4.2516464185059775,0.9982843803714423,25.64681797516073
36.0,0.6850362257366982,2.912531815700285,4.250557080916262,0.9982368084113217,25.663344182453557
37.0,0.6546012062888065,2.782419792567213,4.251487098246141,0.9981913499942183,25.678906752113846
38.0,0.6633699625313579,2.820308837066094,4.250885885725065,0.9981452826357092,25.69466250299996
39.0,0.6849893769038417,2.911811674152147,4.249760156865531,0.9980977139289798,25.710979863738828
40.0,0.6928174499549498,2.9443079947997246,4.249166685541483,0.9980496016060664,25.72745160725151
41.0,0.6849065504476751,2.910282096871398,4.249204143551175,0.9980020386511742,25.74361915068249
42.0,0.6808477553255174,2.8930611030567053,4.249105634204736,0.9979547575570543,25.7595992867154
43.0,0.6782447946375958,2.8819337782646426,4.24896146273899,0.9979076572240934,25.775434800448863
44.0,0.661641369363168,2.8112886805779542,4.249390605770282,0.9978617099067764,25.790717833761335
45.0,0.6722868318146683,2.856809347496317,4.248754570707681,0.9978150233212337,25.80624791212398
46.0,0.6760479161459275,2.8723616737424127,4.248384921856332,0.9977680755492792,25.82181876749945
47.0,0.697542098487221,2.9634273335731347,4.247303765718996,0.9977196351257731,25.837949567423152
48.0,0.6876402674438089,2.9206170973741075,4.247456684207707,0.9976718823294228,25.853717339264165
49.0,0.6578566418504751,2.794217590678236,4.248426802586994,0.9976261978404055,25.86854998897735
50.0,0.6871826146059409,2.919445038163688,4.2470776770335394,0.9975784768255024,25.88417871407603
51.0,0.6773822571534526,2.876895063175021,4.247256577550747,0.9975314363909777,25.89944882795504
52.0,0.673230973399435,2.8593846799816425,4.247228697323419,0.9974846842400472,25.914533502043696
53.0,0.6914392387631834,2.936700577330452,4.246317594694319,0.9974366676262443,25.930085103227952
54.0,0.697512587153287,2.961859971349757,4.245869509038179,0.9973882292521364,25.94574377841809
55.0,0.696177025896533,2.955876807146972,4.245713547131523,0.9973398836253382,25.961294611531912
56.0,0.6711821033079145,2.8496469486066416,4.246508934302489,0.997293273757053,25.976049175154117
57.0,0.6785449652944672,2.881447257448927,4.246054840658545,0.9972461525789075,25.990958815894828
58.0,0.6876679448236597,2.919875805884214,4.24552351360212,0.9971983978605169,26.00606902628897
