t_s,I_A,P_device_W,V_V,SOC,T_C
0.0,0.39299268979545304,1.6898685661204493,4.283645915387201,0.9999727088409864,25.010990815453454
1.0,0.3885637283824614,1.6644694279531524,4.283232921864749,0.9999457252487375,25.02176785746599
2.0,0.3959410035505837,1.6959075415240277,4.282358104077509,0.999918229345713,25.032708554940086
3.0,0.40419814321651415,1.730921194256321,4.281457050996422,0.9998901600302119,25.04383629077023
4.0,0.38786652423024726,1.6606338650110666,4.281585790272069,0.9998632248549182,25.054448659523416
5.0,0.387855015189713,1.6606345217220326,4.281081540930447,0.9998362904788634,25.06501597596241
6.0,0.4048436116083905,1.7331685126202956,4.2798904186387805,0.9998081763391684,25.07602170995807
7.0,0.39736937697274577,1.7006973891661163,4.279706457827888,0.9997805812435453,25.086764438869466
8.0,0.38582576651779493,1.6512210245626018,4.279720179891046,0.9997537877875371,25.097132183857013
9.0,0.3952834135493658,1.6917024017434386,4.278897533179376,0.9997263375504849,25.107725405129827
10.0,0.3859553259880015,1.6514632922875014,4.2788542745768705,0.9996995350972913,25.11800589660629
11.0,0.3859376141106117,1.6513708098571898,4.278454640838383,0.9996727338740892,25.128242146566265
12.0,0.3925899961238108,1.6796784908626412,4.277793093646951,0.9996454706799138,25.13862340271993
13.0,0.3724978640458757,1.593468790213688,4.278241292962482,0.9996196027726885,25.14838736749283
14.0,0.3742199602750453,1.6010032866994786,4.277830695039174,0.9995936152754471,25.158159901669762
15.0,0.385127092743738,1.647508498830361,4.27704953823534,0.999566870338451,25.16820016191599
16.0,0.38098383958838367,1.629486755186623,4.276885087316635,0.9995404131273685,25.17807805363981
17.0,0.3934101241797623,1.682569893303811,4.276053974066359,0.9995130929798561,25.188267224401955
18.0,0.3820529504274678,1.6336790369791514,4.2761966435414225,0.9994865615249654,25.19808794352133
19.0,0.37732311828633014,1.6135078519465882,4.276093617902023,0.9994603585306399,25.20773288702344
20.0,0.40425353259804836,1.7286259507568622,4.2747018878279155,0.9994322853686539,25.218103116204134
21.0,0.3885578436966792,1.6609689479805385,4.275036317852726,0.9994053021850638,25.227978891138605
22.0,0.39127179369266374,1.6727011281875168,4.274645786308127,0.9993781305327241,25.23789078840042
23.0,0.37734356322996443,1.6130100725514616,4.274945466381493,0.999351926118611,25.24736369269192
24.0,0.3855545536149551,1.6482246910189926,4.274363191832447,0.9993251514968323,25.25703047209589
25.0,0.391739500936174,1.6744369035883946,4.273859705604811,0.9992979473648228,25.266830698800845
26.0,0.37997509716414396,1.6239602569031077,4.274092940358483,0.9992715602052976,25.276253655224707
27.0,0.3942422273560803,1.6850279207338268,4.273281228215296,0.9992441822728423,25.286042826265373
28.0,0.38517812530926654,1.6459744524032478,4.27341388405713,0.999217433791918,25.29553068023887
29.0,0.3880579543664203,1.658332250008269,4.273076651080483,0.9991904853228648,25.305060451012935
30.0,0.38518656928249495,1.645931735510824,4.272977766301229,0.9991637362555535,25.314467335045947
31.0,0.4081676111528369,1.7440911273803574,4.271828613864119,0.9991353912825569,25.324487967064726
32.0,0.3908069030654201,1.6694601110104825,4.272306370046417,0.9991082519142885,25.333969066038208
33.0,0.3809866198392695,1.6276915628417639,4.272507537617068,0.999081794510133,25.343132086413846
34.0,0.398571981790791,1.7029017964841275,4.2716057387824,0.9990541159002865,25.352756602719978
35.0,0.3795215085705135,1.621166254001159,4.272184751571899,0.9990277602399691,25.361796607636506
36.0,0.39285626474432306,1.6783545438001901,4.271470498317474,0.9990004785549175,25.37117850784324
37.0,0.3726148162961076,1.591613195044809,4.272116210298827,0.998974602526008,25.379944049678386
38.0,0.37847110856822064,1.6168725580440626,4.271728923205762,0.9989483198101353,25.388840095905493
39.0,0.39278579694508964,1.6778744494347648,4.270990816555479,0.9989210430186809,25.398104074108517
40.0,0.3979260869894544,1.6995386631998164,4.270610614377716,0.9988934092626399,25.407473043225252
41.0,0.3926498767183761,1.6768547312475988,4.270653002341569,0.99886614191009,25.416651285379714
42.0,0.3899577108679533,1.6653740687044702,4.270602169068836,0.9988390615135021,25.425714178110127
43.0,0.388225310281695,1.6579558521764284,4.270520215085528,0.9988121014225103,25.434689267571628
44.0,0.3772044245792292,1.6108591203853029,4.270823654767607,0.9987859066708035,25.44331323313986
45.0,0.3842833055942499,1.6412062316642115,4.270408428607843,0.9987592203301372,25.452102230580863
46.0,0.3867485924993884,1.6515744491616084,4.270173799477877,0.9987323627889914,25.46092291284299
47.0,0.40098716573506243,1.7122848890487565,4.269458775030006,0.9987045164580375,25.470110225048074
48.0,0.39436959584435965,1.6837447315827383,4.269575895857772,0.9986771296805483,25.47906860672248
49.0,0.37462231209831914,1.5994783937854906,4.270241215240219,0.9986511142422081,25.487428777920854
50.0,0.39411435418903334,1.6829633587757917,4.269341110107599,0.9986237451898339,25.49630835888803
51.0,0.38755317649979176,1.6545967087833473,4.26947491602003,0.9985968317747992,25.504961654184626
52.0,0.38480683276136474,1.6429231199877616,4.2694661681308945,0.9985701090780796,25.513500596415327
53.0,0.3968803088783921,1.6944670515536346,4.268861351801526,0.9985425479455186,25.522346178976875
54.0,0.400865673507449,1.711239980899838,4.2685700633867505,0.9985147100515251,25.531265969482888
55.0,0.3999585761537408,1.707251204764648,4.2684747079302126,0.9984869351504034,25.540121371502437
56.0,0.38337612637854923,1.6364312990710943,4.2690204132840295,0.9984603118082939,25.548468069311753
57.0,0.38829317840876404,1.6576315049659514,4.268720214180916,0.9984333470042378,25.55692021874148
58.0,0.39432205738485615,1.6832505372561424,4.268369561746673,0.9984059635280306,25.56550694934117
